id,div_code,dist_code,dist_name
1,40,4001,Bagerhat
2,20,2003,Bandarban
3,10,1004,Barguna
4,10,1006,Barisal
5,10,1009,Bhola
6,50,5010,Bogra
7,20,2012,Brahmanbaria
8,20,2013,Chandpur
9,20,2015,Chittagong
10,40,4018,Chuadanga
11,20,2019,Comilla
12,20,2022,Cox's Bazar
13,30,3026,Dhaka
14,55,5527,Dinajpur
15,30,3029,Faridpur
16,20,2030,Feni
17,55,5532,Gaibandha
18,30,3033,Gazipur
19,30,3035,Gopalganj
20,60,6036,Habiganj
21,50,5038,Joypurhat
22,30,3039,Jamalpur
23,40,4041,Jessore
24,10,1042,Jhalokati
25,40,4044,Jhenaidah
26,20,2046,Khagrachhari
27,40,4047,Khulna
28,30,3048,Kishoregonj
29,55,5549,Kurigram
30,40,4050,Kushtia
31,20,2051,Lakshmipur
32,55,5552,Lalmonirhat
33,30,3054,Madaripur
34,40,4055,Magura
35,30,3056,Manikganj
36,40,4057,Meherpur
37,60,6058,Maulvibazar
38,30,3059,Munshiganj
39,30,3061,Mymensingh
40,50,5064,Naogaon
41,40,4065,Narail
42,30,3067,Narayanganj
43,30,3068,Narsingdi
44,50,5069,Natore
45,50,5070,Chapai Nababganj
46,30,3072,Netrakona
47,55,5573,Nilphamari Zila
48,20,2075,Noakhali
49,50,5076,Pabna
50,55,5577,Panchagarh
51,10,1078,Patuakhali
52,10,1079,Pirojpur
53,50,5081,Rajshahi
54,30,3082,Rajbari
55,20,2084,Rangamati
56,55,5585,Rangpur
57,30,3086,Shariatpur
58,40,4087,Satkhira
59,50,5088,Sirajganj
60,30,3089,Sherpur
61,60,6090,Sunamganj
62,60,6091,Sylhet
63,30,3093,Tangail
64,55,5594,Thakurgaon
